"V1";"V2"
"Will Janet Yellen be Federal Reserve chair on June 30, 2017?";"Will Yellen be Fed chair on June 30?"
"Cathleen Kelly";"Kelly"
"Donald Trump, Jr.";"Trump Jr."
"Forrest Lucas";"Lucas"
"Robert Grady";"Grady"
"Harold Hamm";"Hamm"
"Doug Ducey";"Ducey"
"Cynthia Lummis";"Lummis"
"Ray Washburne";"Washburne"
"Bob Gillam";"Gillam"
"Mead Treadwell";"Treadwell"
"Richard Pombo";"Pombo"
"Raúl Labrador";"Labrador"
"Debbie Stabenow";"Stabenow"
"Michelle Obama";"Obama"
"Bruce Rastetter";"Rastetter"
"Chuck Conner";"Conner"
"Sam Brownback";"Brownback"
"Dave Heineman";"Heineman"
"Sonny Perdue";"Perdue"
"Sid Miller";"Miller"
"Terry Branstad";"Branstad"
"Don Villwock";"Villwock"
"Charles Herbster";"Herbster"
"Kip Tom";"Tom"
"Ted McKinney";"McKinney"
"Mike McCloskey";"McCloskey"
"Heidi Heitkamp";"Heitkamp"
"Kristi Noem";"Noem"
"Tim Huelskamp";"Huelskamp"
"Butch Otter";"Otter"
"Susan Combs";"Combs"
"Elsa Murano";"Murano"
"Abel Maldonado";"Maldonado"
"Henry Bonilla";"Bonilla"
"Bill Northey";"Northey"
"Doug Keesling";"Keesling"
"Michael Scuse";"Scuse"
"B6) Clinton 2.9%-, tied or Trump up";"HRC 2.9 & <"
"B5) Clinton +3.0% to 3.9%";"HRC 3.0-3.9"
"Lenin Moreno";"Moreno"
"Cynthia Viteri";"Viteri"
"Guillermo Lasso";"Lasso"
"Bill English";"English"
"John Key";"Key"
"Peter Goodfellow";"Goodfellow"
"Paula Bennett";"Bennett"
"David Carter";"Carter"
"Nikki Kaye";"Kaye"
"Simon Bridges";"Bridges"
"Jacinda Ardern";"Ardern"
"Nigel Haworth";"Haworth"
"Andrew Kirton";"Kirton"
"Andrew Little";"Little"
"Annette King";"King"
"B5) Trump outperforms polling by 0.1% - 0.9%";"DJT 0.1-0.9"
"B7) Trump outperforms polling by 2.0% or more";"DJT 2.0+"
"B6) Trump outperforms polling by 1.0% - 1.9%";"DJT 1.0-1.9"
"B4) No difference";"No difference"
"B3) Clinton outperforms polling by 0.1% - 0.9%";"HRC 0.1-0.9"
"B2) Clinton outperforms polling by 1.0% - 1.9%";"HRC 1.0-1.9"
"B1) Clinton outperforms polling by 2.0% or more";"HRC 2.0+"
"Will Clinton’s favorable rate be at least 43.5% on November 4?";"Clinton’s favorable rate 43.5+ on 11/4?"
"Will Trump's favorable rate be at least 35.5% on November 4?";"Trump's favorable rate 35.5+ on 11/4?"
"Andrew Scheer";"Scheer"
"Kellie Leitch";"Leitch"
"Deepak Obhrai";"Obhrai"
"Chris Alexander";"Alexander"
"Brad Trost";"Trost"
"Maxime Bernier";"Bernier"
"Erin O’Toole";"O’Toole"
"Steven Blaney";"Blaney"
"Michael Chong";"Chong"
"Lisa Raitt";"Raitt"
"Andrew Saxton";"Saxton"
"Kevin O'Leary";"O'Leary"
"B5) Trump +0.4%-, tied or Clinton up";"DJT 0.4 & <"
"B2) Trump +1.5% to 1.9%";"DJT 1.5-1.9"
"B3) Trump +1.0% to 1.4%";"DJT 1.0-1.4"
"B4) Trump +0.5% to 0.9%";"DJT 0.5-0.9"
"B4) Clinton +1.0% to 1.4%";"HRC 1.0-1.4"
"B3) Clinton +1.5% to 1.9%";"HRC 1.5-1.9"
"B2) Clinton +2.0% to 2.4%";"HRC 2.0-2.4"
"B1) Clinton +2.5% or more";"HRC 2.5+"
"B6) Clinton +1.9%-, tied or Trump up";"HRC 1.9 & <"
"B2) Clinton +3.5% to 3.9%";"HRC 3.5-3.9"
"B5) Clinton +2.0% to 2.4%";"HRC 2.0-2.4"
"B4) Clinton +2.5% to 2.9%";"HRC 2.5-2.9"
"B3) Clinton +3.0% to 3.4%";"HRC 3.0-3.4"
"B7) 51.3% or lower";"51.3-"
"B6) 51.4% - 51.7%";"51.4-51.7"
"B5) 51.8% - 52.1%";"51.8-52.1"
"B4) 52.2% - 52.5%";"52.2-52.5"
"B3) 52.6% - 52.9%";"52.6-52.9"
"B2) 53.0% - 53.3%";"53.0-53.3"
"B1) 53.4% or higher";"53.4+"
"Will Obama's Gallup approval be 53% or higher for November 1 - 3?";"Obama's Gallup at 53+ 11/1-11/3?"
"B1) Trump +3.5% or more";"DJT 3.5+"
"B4) Trump +2.0% to 2.4%";"DJT 2.0-2.4"
"B2) Trump +3.0% to 3.4%";"DJT 3.0-3.4"
"B5) Trump +1.9%-, tied or Clinton up";"DJT 1.9 & <"
"B3) Trump +2.5% to 2.9%";"DJT 2.5-2.9"
"Will Huma Abedin be Hillary Clinton's campaign vice chair on November 7?";"Will Abedin be Clinton campaign vice chair on 11/7?"
"Will James Comey testify before Congress again before Election Day?";"Will Comey testify again before the election?"
"Will a federal criminal charge be filed against Anthony Weiner in 2016?";"Will Anthony Weiner face federal charges in 2016?"
"Will the next U.S. president be impeached in the first 100 days?";"Will the next president be impeached in first 100 days?"
"B5) Clinton 3.4%-, tied or Trump up";"HRC 3.4 & <"
"B2) Clinton +4.5% to 4.9%";"HRC 4.5-4.9"
"B3) Clinton +4.0% to 4.4%";"HRC 4.0-4.4"
"B4) Clinton +3.5% to 3.9%";"HRC 3.5-3.9"
"30.5% or higher";"30.5+"
"28.9% or lower";"28.9-"
"16.0% or higher";"16.0+"
"15.5% - 15.9%";"15.5-15.9"
"14.4% or lower";"14.4-"
"Will John Mica be re-elected to the House of Representatives from Florida's 7th district?";"Will John Mica be re-elected to Congress?"
"Will Stephen Knight be re-elected to the House of Representatives from California's 25th district?";"Will Stephen Knight be re-elected to Congress?"
"Will Jeff Denham be re-elected to the House of Representatives from California's 10th district?";"Will Jeff Denham be re-elected to Congress?"
"Will Ami Bera be re-elected to the House of Representatives from California's 7th district?";"Will Ami Bera be re-elected to Congress?"
"B1) Dems +4.5% or more";"D 4.5+"
"B2) Dems +4.0% to 4.4%";"D 4.0-4.4"
"B3) Dems +3.5% to 3.9%";"D 3.5-3.9"
"B4) Dems +3.0% to 3.4%";"D 3.0-3.4"
"B1) $70M or more";"70M or more"
"B2) $60M to $69,999,999.99";"60M up to 70M"
"B5) Below $40M";"Below 40M"
"B3) $50M to $59,999,999.99";"50M up to 60M"
"B4) $40M to $49,999,999.99";"40M up to 50M"
"Reince Priebus";"Priebus"
"Steve Bannon";"Bannon"
"Jake Sullivan";"Sullivan"
"Ron Klain";"Klain"
"Paul Manafort";"Manafort"
"John Podesta";"Podesta"
"Kellyanne Conway";"Conway"
"Jared Kushner";"Kushner"
"Corey Lewandowski";"Lewandowski"
"Betsy McCaughey";"McCaughey"
"Steve Beshear";"Beshear"
"Sylvia Burwell";"Burwell"
"Neera Tanden";"Tanden"
"Richard Bagger";"Bagger"
"Patrick Soon-Shiong";"Soon-Shiong"
"Will James Comey resign in 2016?";"Comey resignation in 2016?"
"B5) Tied or Trump ahead";"Tie, Trump up"
"B5) Clinton +1.0% to 1.4%";"HRC 1.0-1.4"
"B6) Clinton 0.9%-, tied or Trump up";"HRC 0.9 & <"
"Will the winner of the popular vote also win the Electoral College?";"Popular vote winner = Electoral College winner?"
"Will the federal government be shut down on December 12?";"Government shutdown on 12/12?"
"Will the Senate confirm any SCOTUS nominee between Jan. 20 and July 31, 2017?";"SCOTUS confirmation between 1/20-7/31?"
"Fred Hochberg";"Hochberg"
"Jeanne Shaheen";"Shaheen"
"Chris Collins";"Collins"
"David Perdue";"Perdue"
"Penny Pritzker";"Pritzker"
"Dan DiMicco";"DiMicco"
"Linda McMahon";"McMahon"
"Lew Eisenberg";"Eisenberg"
"Eric Bolling";"Bolling"
"Peter Thiel";"Thiel"
"Todd Ricketts";"Ricketts"
"Edward Hugler";"Hugler"
"Thomas Perez";"Perez"
"Paul LePage";"LePage"
"Phyllis Borzi";"Borzi"
"Victoria Lipnic";"Lipnic"
"Andrew Puzder";"Puzder"
"Lou Barletta";"Barletta"
"Peter Kirsanow";"Kirsanow"
"Catherine Templeton";"Templeton"
"Alexander Acosta";"Acosta"
"Will Obama's Gallup approval be 51% or higher for November 8 - 10?";"Obama's Gallup at 51+ 11/8-11/10?"
"B6) 50.6% - 50.9%";"50.6-50.9"
"Will the 2016 presidential popular vote margin of victory be at least 20% in NY?";"Presidential margin of victory in NY 20%+?"
"Will the 2016 presidential popular vote margin of victory be at least 15% in IL?";"Presidential margin of victory in IL 15%+?"
"Will the 2016 presidential popular vote margin of victory be at least 22% in CA?";"Presidential margin of victory in CA 22%+?"
"B4) 3% - 4%";"3-4%"
"B5) Less than 3%";"< 3%"
"B3) 4% - 5%";"4-5%"
"B2) 5% - 6%";"5-6%"
"B1) 6% or more";"6%+"
"Will the 2016 presidential popular vote margin of victory be at least 3% in Alaska?";"Presidential margin of victory in AK 3%+?"
"Will Paul Ryan announce his stepping down as speaker by year-end?";"Will Ryan step down as speaker?"
"31.0% - 31.4%";"31.0-31.4"
"30.4% or lower";"30.4-"
"31.5% - 31.9%";"31.5-31.9"
"32.0% or higher";"32.0+"
"Will Obama pardon Hillary Clinton?";"Will Obama pardon Hillary?"
"Will a federal minimum wage increase go into effect by year-end 2017?";"Minimum wage hike by end of 2017?"
"Will the individual tax rate be cut by the end of 2017?";"Individual tax cut by end of 2017?"
"Will the corporate tax rate be cut by the end of 2017?";"Corporate tax cut by end of 2017?"
"8";"8"
"9 or more";"9+"
"Will Obama's Gallup approval be 56% or higher for November 15 - 17?";"Obama's Gallup at 56+ 11/15-11/17?"
"B5) 52.2% - 52.5%";"52.2-52.5"
"B7) 51.7% or lower";"51.7-"
"B6) 51.8% - 52.1%";"51.8-52.1"
"B4) 52.6% - 52.9%";"52.6-52.9"
"B3) 53.0% - 53.3%";"53.0-53.3"
"B2) 53.4% - 53.7%";"53.4-53.7"
"B1) 53.8% or higher";"53.8+"
"Sean Spicer";"Spicer"
"Laura Ingraham";"Ingraham"
"Sean Hannity";"Hannity"
"Jason Miller";"Miller"
"Omarosa Manigault";"Manigault"
"Katrina Pierson";"Pierson"
"Scottie Nell Hughes";"Hughes"
"Hope Hicks";"Hicks"
"Monica Crowley";"Crowley"
"David Martosko";"Martosko"
"Kimberly Guilfoyle";"Guilfoyle"
"Will the Senate invoke the nuclear option for SCOTUS nominees by end of 2017?";"Nuclear option for SCOTUS nominees?"
"Will the U.S. label China a currency manipulator by June 30?";"China labeled currency manipulator by 6/30?"
"Ronna Romney McDaniel";"McDaniel"
"Nick Ayers";"Ayers"
"Mercedes Schlapp";"Schlapp"
"Sharon Day";"Day"
"David Bossie";"Bossie"
"Matt Pinnell";"Pinnell"
"Steve Stivers";"Stivers"
"Roger Williams";"Williams"
"Will Nancy Pelosi be re-elected House Democratic leader?";"Will Pelosi be re-elected Democratic leader?"
"Will any ""faithless electors"" fail to vote as pledged?";"Will there be any ""faithless electors""?"
"Will the ACA individual mandate be repealed by the end of 2017?";"Individual mandate repeal by end of 2017?"
"Will the ACA employer mandate be repealed by the end of 2017?";"Employer mandate repeal by end of 2017?"
"Will the ACA medical device tax be repealed by the end of 2017?";"Medical device tax repeal by the end of 2017?"
"Will ACA plan subsidies be repealed by the end of 2017?";"ACA subsidy repeal by the end of 2017?"
"Will Jared Kushner become a Trump political appointee by the end of 2017?";"Will Trump appoint Kushner by end of 2017?"
"Will ACA preexisting condition provision be repealed by the end of 2017?";"Preexisting condition provision repeal by end of 2017?"
"Will Sarah Palin be a cabinet member on March 31, 2017?";"Palin in the cabinet on March 31?"
"Will there be a Putin-Trump meeting in U.S. in Trump's first 100 days?";"Putin-Trump U.S. meeting in first 100 days?"
"Will Donald Trump travel to Russia in his first 100 days?";"Will Trump travel to Russia in first 100 days?"
"Will Park Geun-hye resign as South Korean president in 2016?";"South Korean President Park to resign in 2016?"
"Will Trump sign a bill not supported by a majority of GOP House delegation in 2017?";"Trump sign a bill without majority GOP support in 2017?"
"Grace Bochenek";"Bochenek"
"Ernest Moniz";"Moniz"
"Kevin Cramer";"Cramer"
"Myron Ebell";"Ebell"
"James Connaughton";"Connaughton"
"Kristine Svinicki";"Svinicki"
"Gary Cohn";"Cohn"
"Betsy DeVos";"DeVos"
"Williamson Evers";"Evers"
"Michelle Rhee";"Rhee"
"Kevin Chavous";"Chavous"
"Larry Arnn";"Arnn"
"Luke Messer";"Messer"
"Philip Rosenfelt";"Rosenfelt"
"Will Donald Trump testify in Trump University case in 2016?";"Will Trump testify in Trump U. case in 2016?"
"Will Obama's Gallup approval be 56% or higher for November 22 - 24?";"Obama's Gallup at 56+ 11/22-11/24?"
"B1) 55.0% or higher";"55.0+"
"B2) 54.0% - 54.9%";"54.0-54.9"
"B3) 53.0% - 53.9%";"53.0-53.9"
"B4) 52.0% - 52.9%";"52.0-52.9"
"B5) 51.0% - 51.9%";"51.0-51.9"
"B6) 50.0% - 50.9%";"50.0-50.9"
"B7) 49.9% or lower";"49.9-"
"Will Congress pass a resolution to amend the Constitution, abolishing the Electoral College, by end of 2017?";"Congress resolve to abolish Electoral College by end of 2017?"
"Scott Pruitt";"Pruitt"
"Leslie Rutledge";"Rutledge"
"Joseph Aiello";"Aiello"
"Carol Comer";"Comer"
"Jeffrey Holmstead";"Holmstead"
"Kathleen Hartnett White";"White"
"Donald van der Vaart";"van der Vaart"
"Gina McCarthy";"McCarthy"
"Catherine McCabe";"McCabe"
"Maria Pagan";"Pagan"
"Rolf Lundberg";"Lundberg"
"Robert Lighthizer";"Lighthizer"
"Andrew Liveris";"Liveris"
"Wayne Berman";"Berman"
"Jovita Carranza";"Carranza"
"Luther Strange";"Strange"
"Gary Palmer";"Palmer"
"Trip Pittman";"Pittman"
"Martha Roby";"Roby"
"Cam Ward";"Ward"
"Mike Rogers";"Rogers"
"Mo Brooks";"Brooks"
"Robert Aderholt";"Aderholt"
"Perry Hooper";"Hooper"
"Roy Moore";"Moore"
"Glenn Murdock";"Murdock"
"Connie Rowe";"Rowe"
"Arthur Orr";"Orr"
"Del Marsh";"Marsh"
"Bill Hightower";"Hightower"
"Bill Poole";"Poole"
"Robert Woodson";"Woodson"
"Pam Patenaude";"Patenaude"
"Rick Lazio";"Lazio"
"Rob Astorino";"Astorino"
"Elaine Chao";"Chao"
"John Mica";"Mica"
"Mark Rosenker";"Rosenker"
"Jim Simpson";"Simpson"
"Greg Hughes";"Hughes"
"Bill Shuster";"Shuster"
"Dewey Bartlett";"Bartlett"
"Greg Ballard";"Ballard"
"Betsy Price";"Price"
"Paul Trombino";"Trombino"
"Aubrey Layne";"Layne"
"Harold Ford";"Ford"
"Marion Blakey";"Blakey"
"Pat McCrory";"McCrory"
"Will Trump move the U.S. embassy in Israel to Jerusalem in 2017?";"Will Trump move U.S. embassy to Jerusalem in 2017?"
"Donald McGahn";"McGahn"
"Alan Garten";"Garten"
"B5) Increase $500 - 750 billion";"+500-750B"
"B8) Decrease";"Decrease"
"B7) Increase $0 - 250 billion";"+0-250B"
"B6) Increase $250 - 500 billion";"+250-500B"
"B4) Increase $750 billion - 1 trillion";"+750B-1T"
"B3) Increase $1 - 1.25 trillion";"+1-1.25T"
"B2) Increase $1.25 - 1.5 trillion";"+1.25-1.5T"
"B1) Increase $1.5 trillion or more";"+1.5T+"
"Ralph Northam";"Northam"
"Brian Moran";"Moran"
"Gerald Connolly";"Connolly"
"Tom Perriello";"Perriello"
"Ed Gillespie";"Gillespie"
"Pete Snyder";"Snyder"
"Jeffrey McWaters";"McWaters"
"Shak Hill";"Hill"
"Rob Wittman";"Wittman"
"Eric Cantor";"Cantor"
"Frank Wagner";"Wagner"
"Corey Stewart";"Stewart"
"Bill Bolling";"Bolling"
"Randy Forbes";"Forbes"
"Phil Murphy";"Murphy"
"Joe DiVincenzo";"DiVincenzo"
"John Wisniewski";"Wisniewski"
"Steve Sweeney";"Sweeney"
"Ray Lesniak";"Lesniak"
"Steve Fulop";"Fulop"
"Kim Guadagno";"Guadagno"
"Thomas Kean";"Kean"
"Jack Ciattarelli";"Ciattarelli"
"Randy Brown";"Brown"
"Jon Bramnick";"Bramnick"
"Martin Walsh";"Walsh"
"Mary Franklin";"Franklin"
"Michelle Wu";"Wu"
"Tito Jackson";"Jackson"
"Mike Duggan";"Duggan"
"Devonna Harvey";"Harvey"
"Coleman Young";"Young"
"Benny Napoleon";"Napoleon"
"Jacob Frey";"Frey"
"Nekima Levy-Pounds";"Levy-Pounds"
"Betsy Hodges";"Hodges"
"Alondra Cano";"Cano"
"Raymond Dehn";"Dehn"
"Tom Hoch";"Hoch"
"Lyda Krewson";"Krewson"
"Jeffrey Boyd";"Boyd"
"Bill Haas";"Haas"
"Jamilah Nasheed";"Nasheed"
"Antonio French";"French"
"Tishaura Jones";"T. Jones"
"Gregory Daly";"Daly"
"Lewis Reed";"Reed"
"Jimmie Matthews";"Matthews"
"Johnathan McFarland";"McFarland"
"Robb Cunningham";"Cunningham"
"Andrew Jones";"A. Jones"
"Jenny Durkan";"Durkan"
"Ed Murray";"Murray"
"Mike O’Brien";"O’Brien"
"Kshama Sawant";"Sawant"
"Bob Hasegawa";"Hasegawa"
"Cary Moon";"Moon"
"Mike McGinn";"McGinn"
"Nikkita Oliver";"Oliver"
"Jessyn Farrell";"Farrell"
"Will Obama's Gallup approval be 55% or higher for November 29 - December 1?";"Obama's Gallup at 55+ 11/29-12/1?"
"B5) 53.2% - 53.5%";"53.2-53.5"
"B1) 54.8% or higher";"54.8+"
"B2) 54.4% - 54.7%";"54.4-54.7"
"B3) 54.0% - 54.3%";"54.0-54.3"
"B4) 53.6% - 53.9%";"53.6-53.9"
"B6) 52.8% - 53.1%";"52.8-53.1"
"B7) 52.7% or lower";"52.7-"
"Will a White House representative attend Fidel Castro's funeral?";"Will a White House rep attend Castro funeral?"
"Will Raúl Castro stay in power through 2017?";"Will Raúl Castro stay in power through 2017?"
"Mike Dempsey";"Dempsey"
"Michael Rogers";"Rogers"
"Pete Hoekstra";"Hoekstra"
"Robert Cardillo";"Cardillo"
"Ronald Burgess";"Burgess"
"Mick Mulvaney";"Mulvaney"
"Mark Sandy";"Sandy"
"Tom Coburn";"Coburn"
"Paul Winfree";"Winfree"
"Linda Springer";"Springer"
"David Malpass";"Malpass"
"Lawrence Kudlow";"Kudlow"
"Stephen Moore";"Moore"
"Peter Navarro";"Navarro"
"Allan Hubbard";"Hubbard"
"Howard Lorber";"Lorber"
"Kevin Hassett";"Hassett"
"Mary Anne Bradfield";"Bradfield"
"Steve Chabot";"Chabot"
"Joe Loddo";"Loddo"
"Ilyse Hogue";"Hogue"
"Ruben Gallego";"Gallego"
"Raymond Buckley";"Buckley"
"Pete Buttigieg";"Buttigieg"
"Jehmu Green";"Green"
"Sally Boynton Brown";"Brown"
"Samuel Ronan";"Ronan"
"Will Trump's favorable rate be at least 45.0% on December 15?";"Trump's favorable rate 45+ on 12/15?"
"John Cranley";"Cranley"
"Yvette Simpson";"Simpson"
"Frank Jackson";"Jackson"
"Zack Reed";"Reed"
"Jeff Johnson";"Johnson"
"Vi Lyles";"Lyles"
"Jennifer Roberts";"Roberts"
"Joel Ford";"Ford"
"Kenny Smith";"Smith"
"William Peduto";"Peduto"
"Darlene Harris";"Harris"
"Michael Lamb";"Lamb"
"Nana Akufo-Addo";"Akufo-Addo"
"Paa Kwesi Nduom";"Nduom"
"John Dramani Mahama";"Mahama"
"Will national right-to-work legislation be enacted in 2017?";"National right-to-work legislation enacted in 2017?"
"Will Obama's Gallup approval be 57% or higher for December 6 - 8?";"Obama's Gallup at 57+ 12/6-12/8?"
"Will 2017 legislation classify carried interest as ordinary income?";"Carried interest taxed as ordinary income in 2017?"
"Will Trump meet with Netanyahu in his first 100 days?";"Trump-Netanyahu meeting in first 100 days?"
"Will Trump withdraw from the Paris Agreement in 2017?";"Trump withdrawal from Paris Agreement in 2017?"
"14.9% or lower";"14.9-"
"16.5% or higher";"16.5+"
"16.0% - 16.4%";"16.0-16.4"
"Will Terry Branstad be ambassador to China on January 31, 2017?   ";"Will Branstad be ambassador to China on 1/31?"
"Will the UK Supreme Court overturn the high court ruling on Parliament’s Brexit role by Jan. 31?";"Will SCOTUK reverse ruling on Parliament’s Brexit role?"
"Will Jessica Rosenworcel and Tom Wheeler both be FCC commissioners on Jan. 31?";"Rosenworcel and Wheeler still at FCC on 1/31?"
"Omarosa Manigault";"Omarosa"
"Daniel Scavino";"Scavino"
"Justin McConney";"McConney"
"Jessica Ditto";"Ditto"
"Will Obama's Gallup approval be 55% or higher for December 13 - 15?";"Obama's Gallup at 55+ 12/13-12/15?"
"Samuel Alito";"Alito"
"John Roberts";"Roberts"
"Will DC enact Universal Paid Leave Act in 2016?";"Will DC enact Universal Paid Leave Act in 2016?"
"30.9% or lower";"30.9-"
"32.0% - 32.4%";"32.0-32.4"
"32.5% or higher";"32.5+"
"45 - 49";"45-49"
"40 - 44";"40-44"
"35 - 39";"35-39"
"30 - 34";"30-34"
"25 - 29";"25-29"
"20 - 24";"20-24"
"19 or fewer";"19-"
"50 or more";"50+"
"VVD";"VVD"
"D66";"D66"
"PVV";"PVV"
"CDA";"CDA"
"SP";"SP"
"PvdA";"PvdA"
"GroenLinks";"GroenLinks"
"Will Trump's favorable rate be at least 45.0% on December 31?";"Trump's favorable rate 45+ on 12/31?"
"Will Trump walk down Pennsylvania Ave after his inauguration?";"Will Trump walk down Penn Ave after inauguration?"
"Will Trump mention Clinton in his inaugural address?";"Will Trump mention Clinton in inaugural address?"
"Will Obama's Gallup approval be 56% or higher for December 20 - 22?";"Obama's Gallup at 56+ 12/20-12/22?"
"B6) 53.6% - 53.9%";"53.6-53.9"
